State,Year,Abortion_Rate_Occurence,Abortion_Rate_Residence,Number_Abortions_Residence,Number_Abortions_Occurence,Number_of_Clinics,Percent_Counties_No_Clinic,Percent_Women_Without_Clinic,Percent_Change_Abortion_Rate_Occurence,Percent_Change_Providers,Percent_Change_Clinics,Percent_US_Abortions_Occurence,Percent_Counties_No_Provider,Percent_Women_Medicaid,Percent_Women_Private_Insurance,Percent_Women_Without_Provider,Percent_Women_Uninsured,Change_in_Providers,Change_in_Clinics,Number_Providers,Number_Fed_Funded_Abortions,Number_State_Funded_Abortions,Pop_Est_All_Women,Fed_Exp_for_Abortions_1000s,State_Exp_for_Abortions_1000s,Total_Public_Funded_Abortions,Total_Number_Women,Total_Exp_For_Abortions_1000s,Perc_w_Bachelors,Infant_Mortality,Total_Population,Per_Poverty
Alabama,1973,6.0,,,4630.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1974,6.4,,,5080.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1975,7.4,,,6020.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1976,10.1,,,8350.0,26.0,82.0,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1977,13.8,,,11680.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1978,17.5,19.3,16510.0,15120.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1979,19.9,20.7,18270.0,17590.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1980,23.1,22.8,20540.0,20780.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1981,21.7,22.1,20230.0,19840.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1982,21.6,22.1,20470.0,19930.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1984,20.3,20.3,19180.0,19210.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1985,20.2,20.5,19620.0,19380.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1987,20.2,21.8,21160.0,19630.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1988,18.7,20.7,20100.0,18220.0,20.0,91.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,
Alabama,1991,18.1,18.6,17860.0,17400.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,12.2,,
Alabama,1992,18.1,18.4,17720.0,17450.0,20.0,91.0,56.0,,,,,,,,,,,,,,,,,,,,,,12.1,,
Alabama,1995,14.9,,,14580.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,10.9,,
